agent,lat,lon,customer,txn,price
80432,25.7786943,88.9067687,10,24,743.0
62238,22.6507424,91.6417798,6,7,440.0
14628,22.2519163,91.7907413,21,44,2304.0
52360,22.4089742,91.7557693,13,17,1156.0
103180,24.4154157,89.5672034,4,6,137.0
65901,22.8660808,91.8071242,3,8,232.0
23928,23.8862449,90.4907666,8,8,360.0
87540,24.3708235,91.4142169,4,5,170.0
50523,22.3076012,91.7881683,3,8,370.0
43109,22.26034,91.8046943,2,4,63.0
3216,22.2594535,91.8022539,1,11,159.0
59976,25.7498722,89.2374769,60,78,2775.0
8820,22.2594559,91.8007951,1,2,28.0
67367,23.129628,89.3092756,3,3,55.0
24782,22.2785903,91.7853595,6,6,384.0
42962,22.293796,91.7819754,10,12,573.0
1483,22.2612642,91.8082984,9,11,594.0
82218,22.2587606,91.7920348,15,17,1127.0
6969,23.7913732,90.3537957,40,197,6561.0
98194,22.2928158,91.7823652,10,16,853.0
8989,22.2822762,91.784442,4,13,309.0
102832,22.3682659,91.8363253,5,17,1163.0
66825,22.367906,91.838996,1,3,247.0
81855,25.0699341,91.3977914,3,3,726.0
65618,22.6993298,90.3736969,3,3,168.0
98903,23.184612,90.5902531,14,19,830.0
82429,22.8168742,89.5423381,9,24,876.0
97066,24.2733385,91.4765556,4,4,229.0
67708,22.2889569,89.9568234,1,1,49.0
17905,23.1645892,90.6522579,5,6,409.0
88677,22.8653653,89.5265049,1,1,100.0
12954,24.8785079,91.8775191,4,8,423.0
109583,25.0720894,91.3957965,2,3,157.0
66100,24.8921858,91.8721231,3,3,192.0
52946,23.168622,89.2146159,3,4,253.0
30158,23.7141305,90.4257097,3,3,249.0
33372,24.8736617,91.8980267,2,3,127.0
102871,24.0080361,89.2583599,2,2,146.0
103453,22.2968619,91.7872068,2,3,190.0
58290,23.892723,90.4161161,3,3,196.0
79774,23.9890902,90.3801625,57,104,5185.0
35404,22.8930218,91.5338671,37,50,2671.0
6922,22.2968636,91.7868268,3,3,177.0
63677,24.200798,90.4337465,2,3,118.0
45719,22.4292058,91.7479592,1,1,99.0
47736,24.1235023,90.4098393,16,17,840.0
77701,22.2508209,91.8268031,8,8,413.0
17124,22.339053,91.774984,68,179,9322.0
21102,23.9794293,90.3708092,1,1,99.0
53152,25.1271433,90.6778833,1,1,20.0
63673,24.260267,90.3950311,1,8,275.0
85214,24.8856336,91.8676259,6,15,990.0
50049,24.885422,91.8655931,4,7,507.0
97913,24.885924,91.867777,3,5,172.0
1554,23.9086553,90.3747153,2,2,102.0
39688,22.3191735,91.8105106,7,7,1770.0
15776,22.2933813,91.7824342,8,9,416.0
30160,22.3233115,91.7929724,8,8,383.0
106730,24.1646176,90.4283671,17,33,1861.0
16115,23.6971803,90.5394646,68,130,8061.0
47047,23.9499991,90.6137643,5,10,396.0
85169,24.1252894,90.3953348,6,6,384.0
8901,24.8697223,91.8658439,5,13,413.0
26959,24.9634936,91.8746744,11,16,1058.0
61563,24.879292,91.8643538,5,6,244.0
8755,22.3243892,91.8247702,8,8,335.0
67507,24.8435603,91.8603386,1,1,24.0
80611,25.3893614,88.987608,13,13,643.0
79095,24.888838,91.8566791,3,4,120.0
67138,23.893587,90.6648823,2,3,185.0
76545,24.0352626,90.2409335,20,24,1615.0
82048,24.0331961,90.2249934,73,132,7301.0
106221,23.9221973,90.6084443,24,43,3019.0
14379,23.9714083,90.7264867,11,22,1229.0
69179,22.23969,91.8078375,18,43,2020.0
5721,24.0680554,90.2201832,4,5,349.0
86468,24.166064,90.4254218,13,15,905.0
29482,22.3963563,91.7582932,12,27,1267.0
44801,23.8944196,90.3774307,2,2,96.0
38786,23.9404058,90.2858933,2,2,172.0
29446,23.9135469,90.2055642,3,4,227.0
88570,24.3002013,90.3750325,5,5,303.0
94701,22.3827946,91.812185,4,4,149.0
89546,22.384699,91.8137916,2,2,88.0
87583,23.9221795,90.7223332,1,8,236.0
106974,22.327763,91.8015825,1,4,89.0
59461,24.3801851,90.7596151,1,1,19.0
25010,23.9313436,90.718688,1,1,30.0
32329,23.9369048,90.7194419,1,3,89.0
97335,23.93689,90.7194656,1,2,59.0
39365,23.9222354,90.7226242,1,1,30.0
33893,24.3851617,90.7601441,3,3,174.0
74477,22.3444624,91.8016079,6,15,794.0
106010,22.3178224,91.7993102,23,111,6941.0
1624,23.716356,90.4746668,2,2,123.0
26932,22.3184709,91.7976586,11,18,838.0
92736,23.7003839,90.4680171,4,4,279.0
57804,22.416055,91.7541106,7,7,339.0
104770,22.2937987,91.7893664,77,94,4621.0
15408,23.6399686,90.4964171,2,2,158.0
57717,23.689235,90.4744461,11,23,1084.0
41485,23.7466097,90.5404024,5,5,240.0
36551,23.6426053,90.5120291,4,6,466.0
34281,23.7118848,90.4444882,1,1,65.0
43287,22.8570158,90.1031282,2,28,1174.0
74060,22.7474393,90.1029966,1,1,47.0
90631,22.6871936,90.0690645,1,2,94.0
98242,22.7901597,90.1293495,1,1,34.0
87544,22.8586829,90.1721787,1,1,34.0
87440,22.6425018,90.0750797,1,1,24.0
58867,22.7879043,90.1572768,2,2,87.0
28232,22.9614513,90.1739351,2,17,819.0
47187,23.6915693,90.4896776,1,1,24.0
32521,23.6915693,90.4896776,3,7,378.0
76798,22.3942709,91.8676287,3,4,130.0
4433,21.8553893,90.1245417,2,3,48.0
20918,23.6934259,90.4934281,1,3,142.0
69253,20.9730148,92.2485908,1,1,24.0
12730,23.6894228,90.4934512,1,1,63.0
23901,23.6887945,90.524484,18,57,5082.0
31623,20.8668485,92.2980349,1,1,76.0
46923,22.2832706,91.9968597,2,2,83.0
82169,22.3730182,91.7772406,1,1,14.0
78424,22.3611217,91.7814662,1,1,8.0
23869,22.3674754,91.7757596,2,6,199.0
54917,22.3624038,91.7988835,2,2,33.0
59832,22.3610982,91.7814229,1,1,14.0
108249,23.9602806,90.6206105,10,10,1091.0
88291,22.366179,91.7976511,1,1,14.0
65057,22.3656911,91.7964182,2,5,174.0
41704,24.0525964,91.1144756,4,5,266.0
58602,24.1986707,91.5181216,13,15,659.0
104067,24.1995485,90.4205154,11,15,875.0
43431,23.6138711,90.611979,2,2,48.0
72476,20.8668128,92.2980616,3,6,234.0
87388,21.2755752,92.1035874,2,2,47.0
12866,21.6815567,92.078303,15,99,2577.0
76218,21.6577023,92.075146,8,25,588.0
109211,21.6602871,92.1000496,1,1,14.0
102208,23.689954,90.5463406,2,2,120.0
59910,21.6824467,92.0784817,10,44,1798.0
69106,21.6814408,92.0792032,3,3,54.0
21459,21.5541198,92.0675172,2,9,289.0
104612,23.8276424,90.2541569,1,1,24.0
91006,24.9512753,89.3503148,4,4,175.0
70804,23.795519,90.3476522,2,2,83.0
97361,24.1861357,89.5951525,2,2,45.0
28864,25.9669444,88.6644794,1,1,14.0
99765,25.6119865,88.8612496,2,2,63.0
8557,23.9700928,90.879915,1,1,14.0
43267,23.6982803,90.2582596,1,1,64.0
2552,24.0576233,90.3733945,3,19,2054.0
57255,23.9386633,90.2701971,1,1,27.0
46470,23.9311914,90.1511193,2,2,126.0
70690,24.1944486,91.1954636,1,1,24.0
99295,24.2697749,91.3883441,9,9,362.0
18012,23.9419393,90.2688672,1,1,14.0
36957,25.7566427,88.6737489,8,14,535.0
62763,23.7085447,90.4569685,9,10,372.0
44692,23.7144623,90.4296288,8,21,1657.0
21815,20.8687817,92.2978328,2,8,313.0
39521,23.7094003,90.4226751,3,7,280.0
69767,22.3362219,91.8246285,17,65,2762.0
76041,23.962931,90.3817398,2,3,127.0
60172,23.8166224,90.4246538,1,4,128.0
101349,24.2312303,89.2873189,1,3,259.0
36088,24.2054069,89.2662998,1,4,343.0
7202,23.8173923,90.4246616,2,12,459.0
22201,23.8116949,90.4237419,2,3,178.0
36107,23.8130646,90.4251863,2,2,183.0
106432,24.0706284,89.207923,2,3,214.0
24067,24.2282437,89.283873,1,2,199.0
48493,23.8173314,90.4249193,2,2,113.0
56061,23.7403841,90.5260412,9,11,664.0
54868,22.3032325,91.7916904,46,61,3566.0
104373,23.9301511,90.7136139,2,2,117.0
21065,23.7647124,90.5519552,2,2,64.0
13737,23.1276306,89.2934435,1,2,38.0
105869,23.6972997,90.5120924,18,19,933.0
82826,22.6469199,89.7936002,3,3,137.0
5791,23.1626765,89.2148961,1,1,24.0
45403,24.1312427,89.0655023,1,1,39.0
15858,24.8582239,89.3507823,2,5,155.0
31717,24.8060025,88.9507197,2,2,64.0
83768,23.1775503,89.2143765,6,7,351.0
39227,23.1827104,89.2147002,1,2,81.0
106042,23.9164828,90.0967146,2,2,43.0
38206,23.6995842,90.510325,22,30,1090.0
104353,23.69916,90.5117984,40,63,3363.0
3771,24.4331122,89.6077214,4,5,135.0
80994,22.6904645,90.4934178,13,14,667.0
2489,22.7839743,90.6312405,2,2,48.0
40532,23.8316623,90.6206398,1,1,14.0
6828,22.3156355,91.7874543,9,16,806.0
85760,23.7155504,90.4312493,2,2,128.0
8490,23.738687,90.3644912,1,6,1092.0
60689,23.7349998,90.3675872,6,16,447.0
46644,23.7363502,90.3637703,1,1,99.0
37047,23.7323663,90.3580218,2,3,217.0
36116,22.3494646,91.7830248,8,51,2543.0
35387,22.8537241,91.5450871,25,33,1950.0
31174,24.4214976,89.5504998,9,14,732.0
77175,22.3516977,91.7834331,4,14,539.0
31351,24.8714826,89.1981202,2,3,177.0
86991,24.8721092,89.2114999,3,7,409.0
19764,23.2594348,89.177698,1,1,42.0
10883,22.3947972,91.7588776,22,44,1938.0
72358,24.4283517,90.7857091,1,3,62.0
30221,23.8797279,89.0918147,6,9,434.0
56553,23.1359206,89.1727186,1,1,24.0
24397,23.1823747,90.5772119,32,56,3184.0
103084,23.0385531,88.8872397,6,6,236.0
85300,22.4673733,91.7263743,9,10,303.0
83673,23.1383831,89.1795084,1,1,30.0
90486,23.25224,89.1650983,2,3,179.0
68005,23.2520982,89.1653711,1,1,20.0
29254,23.2516972,89.165456,1,1,20.0
47191,22.4043333,91.7627333,14,43,1951.0
69460,22.468264,91.7302557,10,31,1010.0
83555,25.7874939,89.2095273,8,17,611.0
45657,23.7087759,90.5616952,4,4,336.0
84875,23.6676234,90.4585867,13,24,1313.0
46651,23.5308541,90.7148297,18,29,2051.0
35829,23.9958513,90.2543585,6,10,559.0
106226,24.0873818,89.0480265,4,5,285.0
35098,22.8126093,91.1569881,2,2,83.0
92138,26.0492885,88.5592829,6,30,666.0
1070,26.0067547,88.5565903,1,1,20.0
80503,24.2025698,90.4217087,43,66,3549.0
18466,26.0330399,88.5612826,1,6,112.0
41294,24.3274754,90.6800074,1,3,62.0
49344,24.6721921,89.4095628,101,265,8263.0
22810,26.0287445,88.5594656,4,16,579.0
5505,24.7790605,89.4099975,112,285,9140.0
86169,23.8079931,90.3587919,131,505,16068.0
62648,23.6246773,90.4790275,15,47,1947.0
69036,23.6263337,90.4781227,4,8,202.0
1651,23.7056433,90.4124138,1,1,24.0
51277,24.8921914,91.8721072,1,1,320.0
26075,22.3915257,91.8156891,18,60,3630.0
77864,22.7767093,91.5711437,23,26,1795.0
70173,24.8860001,91.8357878,4,4,139.0
49894,24.1337046,91.3525001,18,29,1786.0
20417,22.4130757,91.754063,4,6,286.0
30043,24.300603,90.3873605,13,16,657.0
8215,22.8941168,91.5347843,13,21,1211.0
43375,23.7205127,90.5753609,13,13,658.0
88285,24.0990032,91.2832355,7,8,453.0
78425,24.7527476,91.7817219,5,24,999.0
106905,24.3707227,91.4142041,8,18,669.0
59,22.3522899,91.8316591,4,6,253.0
91034,24.8683621,91.7126071,4,5,209.0
97875,24.096665,90.1544533,4,6,270.0
53497,22.9108022,91.6105716,3,6,188.0
100151,22.3324378,91.846922,3,3,222.0
24317,22.7052477,91.6116465,9,9,401.0
70290,21.3093847,92.0973289,1,1,99.0
41954,22.3772212,91.8105459,6,12,806.0
45486,21.0331877,92.2408531,1,1,99.0
73168,23.6784272,90.5557747,40,132,6530.0
66693,22.33777,91.8364598,3,3,463.0
17635,23.6784272,90.5557747,44,125,6636.0
2632,23.7239926,90.39922,3,3,181.0
55819,20.8688058,92.2978606,2,2,207.0
78160,23.3774195,91.2394351,3,3,247.0
1245,23.714912,90.424547,23,145,6451.0
96545,23.7156578,90.4233684,4,4,168.0
91259,23.1054327,91.9822571,4,10,349.0
40734,22.3348569,91.8276471,14,48,3514.0
13002,22.3270579,91.8286334,4,11,568.0
101512,23.717475,90.4087213,2,2,109.0
109310,24.0911654,90.1753811,2,2,118.0
55721,23.4150343,91.2173894,54,73,5480.0
61627,24.1431884,90.405719,11,11,580.0
87874,23.4203529,91.1687319,30,40,2315.0
62440,23.9297759,90.4524595,4,4,213.0
36194,23.9868184,90.321723,5,5,249.0
73014,24.0201841,90.2937147,15,27,1361.0
714,24.0311663,90.2242278,59,118,5635.0
102586,23.772201,90.5593283,10,20,806.0
29465,23.964654,90.3973366,9,23,1070.0
14716,24.1913444,90.4358416,26,30,1869.0
105197,23.7651524,90.4011234,3,4,131.0
39211,24.0233687,90.2888421,22,30,1460.0
107086,23.7568435,90.3947366,8,9,469.0
35655,23.738263,90.5685607,1,1,59.0
42783,25.3893064,88.9876425,2,2,38.0
10804,25.3894106,88.9876067,1,1,30.0
6030,22.9051551,89.1948485,2,11,495.0
90532,24.0361912,89.0068128,13,16,944.0
97192,23.9502679,89.0795484,2,3,94.0
91661,25.643639,88.6273956,2,3,97.0
52990,23.6127091,89.183594,1,2,60.0
24254,22.8299039,88.9797205,1,1,40.0
15441,22.8964169,89.1609259,1,1,30.0
85848,25.7427315,89.2464297,14,18,780.0
73671,23.6030227,89.8339407,1,1,30.0
104221,24.3441341,89.070433,1,1,50.0
16806,22.8838836,89.1853292,1,3,100.0
83209,22.9040441,89.1960383,1,4,180.0
75321,23.0296648,89.3995641,10,13,487.0
